Year,Country,Area,CatchCategory,CATONRaisedOrImported,SeasonType,Season,Fleet,ReportingCategory,MisreportedArea,Caton,OfficialLandings,Usage,Effort,UnitEffort
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,1,MIS_MIS_0_0_0_HC,"All - reported, nonreported and misreported",,171,0,,5364,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,1,OTM_SPF_32-69_0_0_all,"All - reported, nonreported and misreported",,1468730,0,,28194,kWd
2000,Germany,27.7.d,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,64607,65000,,-9,NA
2000,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,19000,0,,-9,NA
2000,Ireland,27.7.j,Landings,Imported_Data,Quarter,2,OTM_SPF_32-69_0_0_all,Reported,,324000,0,,-9,NA
2000,Ireland,27.7.g,Discards,Imported_Data,Quarter,4,PTM_SPF_16-31_0_0_all,Reported,,0,0,,-9,NA
2000,UK (England),27.7.f,Landings,Imported_Data,Quarter,2,MIS_MIS_0_0_0_HC,"All - reported, nonreported and misreported",,2119,0,,66,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,3,OTM_SPF_32-69_0_0_all,"All - reported, nonreported and misreported",,60893,0,,4814,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,1,GNS_DEF_all_0_0_all,"All - reported, nonreported and misreported",,698,0,,13,fd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,"All - reported, nonreported and misreported",,1271834,0,,132275,kWd
2000,Ireland,27.7.g,Landings,Imported_Data,Quarter,4,PTM_SPF_16-31_0_0_all,Reported,,11000,11000,,-9,NA
2000,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,19000,19000,,-9,NA
2000,Netherlands,27.7.d,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,154977,0,,18258,kWd
2000,Germany,27.7.e,Landings,Imported_Data,Quarter,3,MIS_MIS_0_0_0_HC,Reported,,2205,2000,,-9,NA
2000,Ireland,27.7.d,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,15000,0,,-9,NA
2000,Denmark,27.7.h,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,988459,988000,,-9,NA
2000,Ireland,27.7.j,Landings,Imported_Data,Quarter,2,OTM_SPF_16-31_0_0,Reported,,324000,324000,,-9,NA
2000,Ireland,27.7.h,Discards,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
2000,Ireland,27.7.e,Discards,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
2000,Netherlands,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,84768,0,,813503,kWd
